horizon,MAE,RMSE,R2
1,1.6478680090398319,2.1636875812335092,0.9985391859450484
7,2.0542050710234254,2.8397024510225486,0.9974827095379547
30,2.7927887733655097,4.0116682954455865,0.9949648076903229
