District,avg_price,std_price,min_price,max_price,growth_rate,cluster
District 1,193.17930982745685,54.07395531183997,71.31,286.93,1.2923746373808538,1
District 2,66.63849212303076,16.146503713933214,37.19,94.98,0.9479512735326691,0
District 3,159.82223555888973,39.00614954152196,89.01,208.83,0.3799348637699579,1
District 4,93.89606151537885,21.53926713809134,52.21,149.95,0.6882706291495416,0
District 5,157.03659414853712,37.235605644742854,80.01,202.66,1.3917107366867543,1
District 6,88.27774193548387,18.070788900568466,45.43,112.84,0.32381431626619717,0
District 7,74.76849962490623,15.391814446366928,17.41,92.98,3.501472031403337,2
District 8,77.47969992498125,16.121437639414754,41.46,97.97,1.2361312108055955,0
District 9,49.867666916729185,14.694410314046692,12.22,71.97,1.5319683908045973,0
