,avg_price,std_price,growth_rate,area_km2,population,population_density_per_km2,distance_to_district1_km
avg_price,1.0,0.980074917571715,-0.22802835271523572,-0.6360437703732296,-0.5582956656321854,0.5071875713352247,-0.7589290213227763
std_price,0.980074917571715,1.0,-0.2109380594179067,-0.4989091470833129,-0.5972711001096191,0.3705653941540337,-0.7160717437831127
growth_rate,-0.22802835271523572,-0.2109380594179067,1.0,0.30395315547745255,0.4930665007529078,-0.5163677967406877,0.12457106813123069
area_km2,-0.6360437703732296,-0.4989091470833129,0.30395315547745255,1.0,0.2261114250597969,-0.796512605821955,0.7521736931663884
population,-0.5582956656321854,-0.5972711001096191,0.4930665007529078,0.2261114250597969,1.0,-0.29440987711854105,0.562420887065791
population_density_per_km2,0.5071875713352247,0.3705653941540337,-0.5163677967406877,-0.796512605821955,-0.29440987711854105,1.0,-0.5091992051328009
distance_to_district1_km,-0.7589290213227763,-0.7160717437831127,0.12457106813123069,0.7521736931663884,0.562420887065791,-0.5091992051328009,1.0
