Model,MAE,RMSE,R2
LinearRegression,1.5297187293589884,1.9029637285286214,0.9988700301522255
XGBoost,1.5821821918662826,2.090255248925114,0.998636659051036
RandomForest,1.7946607560568075,2.590786153055398,0.9979055549612117
