Model,Horizon,MAE_pct_points,RMSE_pct_points,R2
XGBoost,30,2.165044362082764,2.840447870162569,-0.040308517505792896
NaiveZeroGrowth,30,2.1770940843789583,2.784949313044943,-5.3187480499206075e-05
NaivePersistPast30dGrowth,30,3.3079881739139534,4.193440888434622,-1.2674073955820995
