Date,District,Price,year,month,cpi_monthly_avg,cpi_index,cum_price_level,population,pop_growth_rate,hcm_spatial_cost_index,real_price,population_millions,affordability_index
2017-04-18,District 1,82.1,2017,4,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,82.1,95.176977,82.1
2017-04-19,District 1,82.07,2017,4,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,82.07,95.176977,82.07
2017-04-20,District 1,83.91,2017,4,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,83.91,95.176977,83.91
2017-04-21,District 1,85.5,2017,4,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,85.5,95.176977,85.5
2017-04-24,District 1,84.35,2017,4,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,84.35,95.176977,84.35
2017-04-25,District 1,81.71,2017,4,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,81.71,95.176977,81.71
2017-04-26,District 1,82.72,2017,4,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,82.72,95.176977,82.72
2017-04-27,District 1,82.26,2017,4,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,82.26,95.176977,82.26
2017-04-28,District 1,83.24,2017,4,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,83.24,95.176977,83.24
2017-05-03,District 1,73.84,2017,5,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,73.84,95.176977,73.84
2017-05-04,District 1,73.5,2017,5,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,73.5,95.176977,73.5
2017-05-05,District 1,73.57,2017,5,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,73.57,95.176977,73.57
2017-05-08,District 1,72.91,2017,5,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,72.91,95.176977,72.91
2017-05-09,District 1,75.29,2017,5,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,75.29,95.176977,75.29
2017-05-10,District 1,71.31,2017,5,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,71.31,95.176977,71.31
2017-05-11,District 1,72.66,2017,5,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,72.66,95.176977,72.66
2017-05-12,District 1,71.97,2017,5,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,71.97,95.176977,71.97
2017-05-15,District 1,74.98,2017,5,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,74.98,95.176977,74.98
2017-05-16,District 1,73.36,2017,5,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,73.36,95.176977,73.36
2017-05-17,District 1,73.48,2017,5,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,73.48,95.176977,73.48
2017-05-18,District 1,72.84,2017,5,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,72.84,95.176977,72.84
2017-05-19,District 1,75.97,2017,5,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,75.97,95.176977,75.97
2017-05-22,District 1,71.61,2017,5,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,71.61,95.176977,71.61
2017-05-23,District 1,75.87,2017,5,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,75.87,95.176977,75.87
2017-05-24,District 1,72.66,2017,5,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,72.66,95.176977,72.66
2017-05-25,District 1,74.86,2017,5,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,74.86,95.176977,74.86
2017-05-26,District 1,71.88,2017,5,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,71.88,95.176977,71.88
2017-05-29,District 1,72.35,2017,5,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,72.35,95.176977,72.35
2017-05-30,District 1,75.91,2017,5,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,75.91,95.176977,75.91
2017-05-31,District 1,72.31,2017,5,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,72.31,95.176977,72.31
2017-06-01,District 1,136.6,2017,6,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,136.6,95.176977,136.6
2017-06-02,District 1,138.57,2017,6,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,138.57,95.176977,138.57
2017-06-05,District 1,136.18,2017,6,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,136.18,95.176977,136.18
2017-06-06,District 1,136.01,2017,6,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,136.01,95.176977,136.01
2017-06-07,District 1,136.62,2017,6,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,136.62,95.176977,136.62
2017-06-08,District 1,138.67,2017,6,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,138.67,95.176977,138.67
2017-06-09,District 1,137.26,2017,6,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,137.26,95.176977,137.26
2017-06-12,District 1,137.3,2017,6,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,137.3,95.176977,137.3
